bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot1_Trend,BTC/USDT,sell,79006.13,79038.94,0.445463,-14.62,-0.04,79028.5786,78961.2329,sl,2026-05-15 22:21:02,2026-05-15 22:22:03,1.02
Bot1_Trend,BTC/USDT,sell,79094.7,79161.86,0.541188,-36.35,-0.08,79113.1779,79057.7443,sl,2026-05-15 23:06:24,2026-05-15 23:17:29,11.08
Bot1_Trend,BTC/USDT,buy,79161.86,79128.37,0.580973,-19.46,-0.04,79144.6475,79196.285,sl,2026-05-15 23:17:29,2026-05-15 23:18:29,1.0
Bot1_Trend,BTC/USDT,sell,79087.4,79110.28,0.448847,-10.27,-0.03,79109.6793,79042.8414,sl,2026-05-15 23:21:31,2026-05-15 23:25:33,4.03
Bot1_Trend,BTC/USDT,buy,79120.17,79100.01,0.594593,-11.99,-0.03,79103.3518,79153.8064,sl,2026-05-15 23:41:40,2026-05-16 00:00:49,19.15
Bot1_Trend,BTC/USDT,buy,79177.2,79150.16,0.530876,-14.35,-0.03,79158.3632,79214.8736,sl,2026-05-16 00:07:53,2026-05-16 00:11:54,4.02
Bot1_Trend,BTC/USDT,buy,79186.92,79169.22,0.749004,-13.26,-0.02,79173.5689,79213.6221,sl,2026-05-16 00:25:00,2026-05-16 00:35:05,10.08
Bot1_Trend,BTC/USDT,buy,79122.91,79094.61,0.532664,-15.07,-0.04,79104.1364,79160.4571,sl,2026-05-16 01:06:20,2026-05-16 01:33:32,27.2
Bot1_Trend,BTC/USDT,buy,79038.0,79113.21,0.229337,17.25,0.10,78994.3961,79125.2079,mean_revert,2026-05-16 01:40:30,2026-05-16 01:52:32,12.03
Bot1_Trend,BTC/USDT,buy,79144.85,79103.18,0.323973,-13.50,-0.05,79113.9832,79206.5836,sl,2026-05-16 01:56:43,2026-05-16 02:04:46,8.05
Bot1_Trend,BTC/USDT,buy,79186.83,79155.38,0.47119,-14.82,-0.04,79165.6071,79229.2757,sl,2026-05-16 02:28:58,2026-05-16 02:29:58,1.0
Bot1_Trend,BTC/USDT,sell,79103.79,79133.51,0.381653,-11.34,-0.04,79129.9918,79051.3864,sl,2026-05-16 02:31:59,2026-05-16 02:44:05,12.1
Bot1_Trend,BTC/USDT,sell,79057.82,79087.0,0.411287,-12.00,-0.04,79082.1339,79009.1921,sl,2026-05-16 04:02:41,2026-05-16 04:03:41,1.0
Bot1_Trend,BTC/USDT,sell,79097.67,79034.91,0.426862,26.79,0.08,79121.0968,79050.8164,tp,2026-05-16 04:09:44,2026-05-16 04:31:54,22.17
Bot1_Trend,BTC/USDT,buy,78914.17,78984.42,0.157238,-14.25,-0.05,78850.5721,79041.3657,sl,2026-05-16 04:34:57,2026-05-16 04:40:59,6.03
Bot1_Trend,BTC/USDT,sell,78946.0,79025.97,0.371018,17.58,0.14,78972.9529,78892.0943,mean_revert,2026-05-16 04:33:55,2026-05-16 05:08:03,34.13
Bot1_Trend,BTC/USDT,sell,79004.9,79030.52,0.423665,-10.85,-0.03,79028.5036,78957.6929,sl,2026-05-16 05:55:33,2026-05-16 06:01:36,6.05
Bot1_Trend,BTC/USDT,sell,78965.31,78900.01,0.314423,20.53,0.08,78997.1143,78901.7014,tp,2026-05-16 06:10:40,2026-05-16 06:20:45,10.08
Bot1_Trend,BTC/USDT,sell,78965.3,78740.61,0.169515,-15.24,-0.12,79024.2918,78847.3164,sl,2026-05-16 06:10:45,2026-05-16 06:44:18,33.55
Bot1_Trend,BTC/USDT,buy,78833.77,78846.97,0.163545,20.06,0.15,78772.6246,78956.0607,tp,2026-05-16 06:23:15,2026-05-16 06:25:47,2.53
Bot1_Trend,BTC/USDT,sell,78818.0,78862.0,0.294111,-12.94,-0.06,78852.0007,78749.9986,sl,2026-05-16 06:26:47,2026-05-16 06:32:50,6.05
Bot1_Trend,BTC/USDT,sell,78582.49,78661.02,0.191559,-15.04,-0.10,78634.6932,78478.0836,sl,2026-05-16 06:50:59,2026-05-16 06:53:00,2.02
Bot1_Trend,BTC/USDT,sell,78670.0,78553.34,0.192599,22.47,0.15,78721.9214,78566.1571,tp,2026-05-16 06:56:01,2026-05-16 07:07:06,11.08
Bot1_Trend,BTC/USDT,sell,78138.59,78221.27,0.079931,-6.6087,-0.1058,78201.1443,77982.2043,sl,2026-05-16 23:54:26,2026-05-17 00:04:28,10.02
Bot1_Trend,BTC/USDT,sell,78183.43,77971.51,0.071904,15.2379,0.2711,78049.6907,78009.5871,tp,2026-05-17 00:25:14,2026-05-17 01:00:19,35.08
Bot1_Trend,BTC/USDT,buy,78194.0,78077.86,0.069652,-8.0894,-0.1485,78122.2143,78373.4643,sl,2026-05-17 07:32:25,2026-05-17 08:22:30,50.08
Bot3_Momentum,BTC/USDT,buy,78285.69,78599.98,0.044247,13.9064,0.4015,78313.4337,78568.1971,tp,2026-05-17 09:58:19,2026-05-17 10:28:22,30.05
Bot1_Trend,BTC/USDT,buy,78463.59,78313.18,0.035373,-5.3205,-0.1917,78322.2386,78816.9686,sl,2026-05-17 12:44:27,2026-05-17 13:04:29,20.03
